#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
656,SD-0534,85,85,0,0,-
656,SD-0545,85,85,0,-,0
656,SD-0557,85,85,0,0,0
656,SD-0558,85,80,0,0,5
656,SD-0563,85,85,0,0,0
656,SD-0565,85,85,0,0,0
656,SD-0772,85,65,20,-,-
656,SD-0798,85,85,0,0,-
656,SD-0816,85,85,0,-,-
683,SD-0472,84,75,4,0,5
683,SD-0598,84,80,4,0,0
685,SD-0441,83,70,0,8,5
685,SD-0581,83,75,8,0,-
687,SD-0209,82,70,0,12,-
687,SD-0724,82,70,4,8,0
689,SD-0469,81,65,16,0,0
690,SD-0318,80,80,0,0,0
690,SD-0332,80,80,0,0,0
690,SD-0338,80,60,20,0,-
690,SD-0340,80,80,0,0,0
690,SD-0375,80,80,0,0,0
690,SD-0415,80,80,0,0,0
690,SD-0481,80,80,0,0,0
690,SD-0506,80,80,0,-,0
690,SD-0532,80,80,0,0,0
690,SD-0536,80,80,0,0,-
690,SD-0606,80,80,0,0,0
701,SD-0215,79,75,0,4,0
701,SD-0471,79,75,4,-,0
701,SD-0513,79,75,4,0,-
701,SD-0686,79,75,4,0,0
705,SD-0543,78,70,8,0,-
705,SD-0593,78,70,8,0,0
705,SD-0602,78,70,8,0,0
705,SD-0604,78,70,8,-,0
705,SD-0810,78,70,8,0,0
710,SD-0514,77,65,12,0,0
710,SD-0657,77,65,12,0,0
712,SD-0208,75,75,0,0,-
712,SD-0405,75,75,0,0,0
712,SD-0412,75,70,0,0,5
712,SD-0484,75,75,0,0,-
712,SD-0487,75,75,0,-,-
712,SD-0499,75,75,0,0,-
712,SD-0508,75,75,0,-,-
712,SD-0538,75,75,0,0,0
712,SD-0814,75,75,0,0,-
712,SD-0817,75,75,-,-,-
722,SD-0491,74,70,4,0,0
722,SD-0569,74,70,4,-,0
724,SD-0434,73,65,0,8,0
724,SD-0515,73,65,-,8,-
726,SD-0488,72,40,32,0,-
727,SD-0158,70,70,0,0,-
727,SD-0164,70,65,0,0,5
727,SD-0275,70,70,0,0,0
727,SD-0312,70,70,0,0,-
727,SD-0369,70,70,0,0,0
727,SD-0468,70,70,-,0,-
727,SD-0501,70,70,0,-,0
727,SD-0540,70,70,0,0,-
727,SD-0546,70,70,-,-,-
727,SD-0554,70,70,0,0,0
727,SD-0559,70,70,0,0,0
